RDBMS_Type,RDBMS_Version,Native_Type,LT_Name,Logical_Type_ID
SQL Server,2005,NTEXT,"NTEXT",LOGDT036,
SQL Server,2005,NUMERIC,"NUMERIC",LOGDT019,
SQL Server,2005,NVARCHAR,"NVARCHAR",LOGDT037,
SQL Server,2005,REAL,"REAL",LOGDT022,
SQL Server,2005,SMALLDATETIME,"SMALLDATETIME",LOGDT038,
SQL Server,2005,SMALLINT,"SMALLINT",LOGDT018,
SQL Server,2005,SMALLMONEY,"SMALLMONEY",LOGDT044,
SQL Server,2005,SQL_VARIANT,"SQL_VARIANT",LOGDT045,
SQL Server,2005,XML,"XMLType",LOGDT050,
SQL Server,2005,SYSNAME,"SYSNAME",LOGDT039,
SQL Server,2005,TEXT,"TEXT",LOGDT040,
SQL Server,2005,TIMESTAMP,"Timestamp",LOGDT015,
SQL Server,2005,TINYINT,"TINYINT",LOGDT042,
SQL Server,2005,VARBINARY,"VARBINARY",LOGDT041,
SQL Server,2005,VARCHAR,"VARCHAR",LOGDT024,
SQL Server,2005,UNIQUEIDENTIFIER,"UNIQUEIDENTIFIER",LOGDT057,
SQL Server,2000,BIGINT,"BIGINT",LOGDT027,
SQL Server,2000,BINARY,"BINARY",LOGDT033,
SQL Server,2000,BIT,"BIT",LOGDT034,
SQL Server,2000,CHAR,"CHAR",LOGDT025,
SQL Server,2000,DATE,"Date",LOGDT007,
SQL Server,2000,DATETIME,"Datetime",LOGDT008,
SQL Server,2000,DECIMAL,"DECIMAL",LOGDT026,
SQL Server,2000,DOUBLE,"DOUBLE",LOGDT020,
SQL Server,2000,FLOAT,"FLOAT",LOGDT021,
SQL Server,2000,IMAGE,"Image",LOGDT010,
SQL Server,2000,INTEGER,"Integer",LOGDT011,
SQL Server,2000,MONEY,"MONEY",LOGDT043,
SQL Server,2000,NCHAR,"NCHAR",LOGDT035,
SQL Server,2000,NTEXT,"NTEXT",LOGDT036,
SQL Server,2000,NUMERIC,"NUMERIC",LOGDT019,
SQL Server,2000,NVARCHAR,"NVARCHAR",LOGDT037,
SQL Server,2000,REAL,"REAL",LOGDT022,
SQL Server,2000,SMALLDATETIME,"SMALLDATETIME",LOGDT038,
SQL Server,2000,SMALLINT,"SMALLINT",LOGDT018,
SQL Server,2000,SMALLMONEY,"SMALLMONEY",LOGDT044,
SQL Server,2000,SQL_VARIANT,"SQL_VARIANT",LOGDT045,
SQL Server,2000,SYSNAME,"SYSNAME",LOGDT039,
SQL Server,2000,TEXT,"TEXT",LOGDT040,
SQL Server,2000,TIMESTAMP,"Timestamp",LOGDT015,
SQL Server,2000,TINYINT,"TINYINT",LOGDT042,
SQL Server,2000,VARBINARY,"VARBINARY",LOGDT041,
SQL Server,2000,VARCHAR,"VARCHAR",LOGDT024,
SQL Server,2000,UNIQUEIDENTIFIER,"UNIQUEIDENTIFIER",LOGDT057,
DB2/390,8,BLOB,"BLOB",LOGDT029,
DB2/390,8,CHAR,"CHAR",LOGDT025,
DB2/390,8,CLOB,"CLOB",LOGDT028,
DB2/390,8,DATE,"Date",LOGDT007,
